Subject,Site,Gender,AlcQF_Baseline,AlcQF_Baseline_log,UIQ,UIQ_centered,TrialNum,TargetStimulus,Target_Beverage,Target_Context,Response_Label,Response
11003,CU,Fema,7,1.945910149,4.67,0.50517544,189,ASbeer3.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,195,CUwater7.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,200,CUbeer6.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,204,CUbeer2.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,210,CUbeer8.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,214,ASbeer8.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,219,ASwater1.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,224,ASbeer2.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,230,CUwater6.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,235,CUwater1.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,240,CUbeer3.jpg,Beer,Ingroup,Unpleasant,0
11003,CU,Fema,7,1.945910149,4.67,0.50517544,244,ASwater8.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,254,CUbeer7.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,259,CUbeer6.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,265,ASbeer3.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,269,CUwater7.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,285,ASwater7.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,289,ASwater5.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,305,ASwater3.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,314,ASbeer7.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,319,CUwater2.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,330,CUbeer5.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,334,CUwater8.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,340,ASbeer5.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,344,CUbeer1.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,349,ASwater2.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,355,CUwater3.jpg,Water,Ingroup,Unpleasant,0
11003,CU,Fema,7,1.945910149,4.67,0.50517544,360,ASbeer4.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,365,ASwater6.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,370,CUbeer4.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,375,ASbeer1.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,384,CUwater4.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,389,ASbeer6.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,395,CUwater5.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,400,ASwater4.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,404,ASwater6.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,409,CUbeer7.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,415,CUbeer8.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,425,ASwater4.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,430,CUbeer4.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,434,ASwater2.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,440,CUwater2.jpg,Water,Ingroup,Unpleasant,0
